id,name,category,price,maker,recommended_people,review_number,score,file_name,description,stock_status
1,和の香り癒しキャンドルセット,ホーム・インテリア,"3,980円",癒し工房ジャパン,忙しい日常に癒しを求める方、和風のデザインや香りをお好みの方に最適。,145,4.6,wa_candle_set.jpg,和の香り癒しキャンドルセットは、忙しい日々にホッとできるひとときを提供します...,あり
2,ポケットサイズ加湿器『潤いミスト』,家電,"2,480円",スリムテックジャパン,デスクワークが多い方や、乾燥が気になる季節に喉や肌を守りたい方に。,231,4.4,pocket_humidifier.jpg,ポケットサイズ加湿器『潤いミスト』は、乾燥が気になるデスクや寝室で活躍します...,残りわずか
3,天然素材の竹製弁当箱,キッチン用品,"2,980円",エコライフスタイル,環境に優しいライフスタイルを目指す方、和の風情を楽しみたい方に。,89,4.8,bamboo_bento_box.jpg,天然素材の竹製弁当箱は、エコライフスタイルをサポートします。軽量で持ち運びやすく...,あり
4,高性能スポーツソックス『アクティブフィット』,スポーツ・アウトドア,"1,980円",ランニングプロダクツ,ジョギングやフィットネスを趣味とする方、長時間の運動で快適さを求める方に。,321,4.7,active_fit_socks.jpg,高性能スポーツソックス『アクティブフィット』は、運動中の足の快適さを追求しました...,なし
5,プレミアム和紙ノート,文房具,"1,280円",伝統工芸ノート,書き心地にこだわる方、和紙の質感を楽しみたい方に。,176,4.5,premium_washi_notebook.jpg,プレミアム和紙ノートは、和紙特有の優れた書き心地が特徴です。手作りで丁寧に仕上げられた...,あり
6,折りたたみ式ポータブルチェア『リラックスシート』,アウトドア用品,"4,980円",トレイルマスターズ,キャンプやピクニックを楽しむ方、軽量でコンパクトなチェアを探している方に。,203,4.5,portable_chair.jpg,折りたたみ式ポータブルチェア『リラックスシート』は、アウトドアでの快適な座り心地を提供...,あり
7,防滴仕様ワイヤレススピーカー『クリアサウンド』,オーディオ機器,"7,980円",サウンドウェーブジャパン,お風呂やアウトドアで音楽を楽しみたい方、防水性能を重視する方に。,278,4.3,wireless_speaker.jpg,防滴仕様ワイヤレススピーカー『クリアサウンド』は、水回りでも安心して使用できる...,残りわずか
8,折りたたみ式トラベルアイロン『スムースプレス』,家電,"3,480円",ホームスタイラージャパン,出張や旅行中でも身だしなみに気配りたい方、携帯性を重視する方に。,132,4.4,travel_iron.jpg,折りたたみ式トラベルアイロン『スムースプレス』は、コンパクトで持ち運びやすい設計が特徴...,あり
9,快眠サポート枕『リフレッシュピロー』,寝具,"5,980円",ドリームコンフォート,質の高い睡眠を求める方、肩こりや首の負担を軽減したい方に。,346,4.7,refresh_pillow.jpg,快眠サポート枕『リフレッシュピロー』は、睡眠中の快適さを追求した設計です。特許取得済みの...,なし
10,多機能ビジネスリュック『プロキャリア』,バッグ・小物,"9,980円",キャリアデザインワークス,通勤や出張で使いやすいバッグを探している方、多機能を重視する方に。,189,4.6,business_backpack.jpg,多機能ビジネスリュック『プロキャリア』は、ビジネスシーンに最適なデザインと機能性を...,あり
11,折りたたみ式ピクニックテーブル『ネイチャーデザイン』,アウトドア用品,"6,480円",アウトドアクリエイト,キャンプやピクニックを家族や友人と楽しむ方、収納性と使いやすさを求める方に。,256,4.6,picnic_table.jpg,折りたたみ式ピクニックテーブル『ネイチャーデザイン』は、コンパクトに折りたたみ可能で...,残りわずか
